Date _Time,Restaurant Name,Food Category,Delivery Fee (CAD),Total Cost (CAD),Delivery Time (Minutes),Customer Rating,Payment Method,Delivery Count,Location
2021-01-24 12:41,Chipotle,Mexican,2.054372389,68.59726263,31.83290874,4.623894654,Credit Card,51,Toronto
2021-01-25 5:19,Pizza Hut,Vegan,8.110852002,78.51507173,55.52836773,4.454186127,Debit Card,140,Toronto
2021-01-26 2:56,Chipotle,Indian,6.112655366,32.80050202,53.62414491,3.696233811,Gift Card,63,Toronto
2021-01-27 9:43,Chipotle,Japanese,8.234921363,60.65209373,38.91517289,1.858551852,Cash,97,Toronto
2021-01-28 19:43,Starbucks,Mexican,6.179974471,77.663634,21.56314744,3.550811404,Gift Card,152,Toronto
2021-01-29 9:41,Starbucks,Vegan,7.128198861,68.32170165,45.5417491,3.024332383,Credit Card,105,Toronto
2021-01-30 19:18,Pizza Hut,Japanese,8.290653243,55.09439519,22.02387415,3.868876924,Debit Card,61,Toronto
2021-01-31 1:50,Starbucks,Mediterranean,5.240864437,96.58162185,57.05119847,4.331726594,Debit Card,104,Toronto
2021-02-01 16:38,A&W,Indian,2.021665199,72.47337334,58.46525027,3.970885989,Credit Card,159,Toronto
2021-02-02 12:37,Subway,American,8.799571968,92.15881802,27.57960584,4.38624468,Debit Card,53,Toronto
2021-02-03 4:42,Taco Bell,Chinese,5.047122901,77.03049348,47.05557512,1.255465493,Credit Card,85,Toronto
2021-02-04 3:13,Pizza Hut,Thai,5.968341808,77.51439993,23.69076018,1.126480153,Gift Card,180,Toronto
2021-02-05 16:06,Pizza Hut,Japanese,2.062133137,21.80155293,49.18067714,2.034002271,PayPal,50,Toronto
2021-02-06 17:50,A&W,American,5.936736083,45.55449286,33.89150665,4.602664336,Debit Card,66,Toronto
2021-02-07 16:17,Burger King,American,9.891899213,87.96139957,47.24200447,4.294637004,Credit Card,111,Toronto
2021-02-08 5:41,Burger King,Japanese,4.226141287,34.77132828,34.91506037,3.730909191,Credit Card,97,Toronto
2021-02-09 21:05,Starbucks,American,5.163346162,24.81799862,25.82270039,3.80303467,Debit Card,111,Toronto
2021-02-10 8:41,Taco Bell,Mexican,7.497519972,42.71901481,36.24439922,3.906681877,Cash,118,Toronto
2021-02-11 23:13,Starbucks,American,8.51834934,33.73722022,24.50694107,4.770410802,Credit Card,196,Toronto
2021-02-12 13:20,KFC,Vegan,5.339132992,93.64949656,43.075331,4.328764609,Debit Card,152,Toronto
2021-02-13 15:02,KFC,Fast Food,4.477350963,88.77716457,21.63806129,3.493561548,Credit Card,159,Toronto
2021-02-14 2:10,McDonalds,Mexican,9.5026064,57.47307457,41.09278718,3.662861741,Cash,140,Toronto
2021-02-15 21:33,KFC,American,7.417159733,20.21422933,55.45474588,1.854961048,PayPal,163,Toronto
2021-02-16 13:33,Burger King,Mediterranean,2.952170436,75.73779942,53.5149308,3.629275301,Cash,138,Toronto
2021-02-17 1:00,Subway,Chinese,2.551423025,67.98999716,55.31126799,2.69871605,Gift Card,105,Toronto
2021-02-18 2:43,KFC,Indian,5.868398806,97.49714701,56.88195209,1.611847482,Debit Card,127,Toronto
2021-02-19 4:31,Starbucks,American,3.760720528,62.51102542,24.18111552,4.225611277,Cash,63,Toronto
2021-02-20 2:12,Chipotle,Italian,4.031878027,43.59346649,25.14988812,3.040988399,PayPal,74,Toronto
2021-02-21 21:07,Pizza Hut,Chinese,9.021537431,59.11684395,42.28027225,4.909700167,Credit Card,181,Toronto
2021-02-22 16:37,Subway,Mediterranean,2.716528195,98.23737977,55.75890674,2.126717418,Debit Card,81,Toronto
2021-02-23 0:37,Subway,Vegan,7.722912922,74.19080677,58.97397826,2.922680449,Cash,131,Toronto
2021-02-24 22:22,Starbucks,American,4.169138027,72.11797172,21.85047669,2.791981819,PayPal,127,Toronto
2021-02-25 23:19,Pizza Hut,Vegan,8.082625771,35.45793513,34.23096337,1.48311809,Cash,155,Toronto
2021-02-26 10:16,Burger King,American,7.779291076,78.20621399,28.51577019,2.704461115,Gift Card,69,Toronto
2021-02-27 7:53,Subway,Thai,2.059135212,78.77310551,50.23863396,2.150213826,Debit Card,123,Toronto
2021-02-28 0:58,McDonalds,Fast Food,6.073083303,41.96956362,45.60775474,1.641281885,Credit Card,59,Toronto
2021-03-01 9:48,Starbucks,Vegan,3.114555859,56.11567575,24.79552126,2.128622336,PayPal,172,Toronto
2021-03-02 8:18,Subway,Fast Food,8.929816245,40.0412833,39.34088269,1.933006765,Cash,83,Toronto
2021-03-03 20:41,Taco Bell,Chinese,8.972687063,36.98993098,47.41762089,3.936294124,Debit Card,89,Toronto
2021-03-04 9:26,Pizza Hut,Thai,5.34676646,17.20116597,51.16021576,1.123100713,Cash,176,Toronto
2021-03-05 9:26,KFC,Indian,5.555164948,39.2429983,20.80210839,3.469850992,Debit Card,82,Toronto
2021-03-06 19:12,Subway,Mexican,4.426263515,62.08744574,55.61878296,4.042645368,Gift Card,120,Toronto
2021-03-07 15:03,Starbucks,Fast Food,7.732850392,15.13610094,42.77125532,2.922893826,Cash,186,Toronto
2021-03-08 6:22,KFC,Thai,4.869290904,39.07362212,52.4763646,4.72625992,Gift Card,193,Toronto
2021-03-09 23:31,McDonalds,Fast Food,4.142339796,89.91987825,52.3175212,3.831522781,PayPal,182,Toronto
2021-03-10 1:24,KFC,Japanese,5.457848476,65.46012973,27.59410641,3.991694605,Gift Card,147,Toronto
2021-03-11 10:26,Taco Bell,Mediterranean,2.731900147,66.66834005,24.40688481,1.78773395,Debit Card,173,Toronto
2021-03-12 13:45,Burger King,Indian,7.972825637,49.28596593,48.85149076,4.109182303,PayPal,92,Toronto
2021-03-13 4:52,Subway,Mediterranean,2.10077121,72.5001322,26.25707675,4.328378944,Cash,163,Toronto
2021-03-14 17:52,Dominos,American,7.155880492,31.14428513,53.99749966,2.445065554,Cash,138,Toronto
2021-03-15 18:10,Dominos,Fast Food,3.462916214,84.59347888,49.04757935,1.853452272,Debit Card,62,Toronto
2021-03-16 13:06,KFC,American,3.85923237,24.91857519,53.67301457,2.540202717,Credit Card,177,Toronto
2021-03-17 2:08,A&W,Italian,7.085055989,70.76011515,31.96050718,3.958431876,Credit Card,188,Toronto
2021-03-18 0:28,Pizza Hut,Fast Food,9.943547726,43.99769269,32.66392242,2.670556023,Cash,101,Toronto
2021-03-19 22:46,Dominos,Thai,8.221739913,78.5386025,46.84886225,3.946607501,Debit Card,66,Toronto
2021-03-20 19:02,A&W,Indian,3.806717058,61.72998686,21.2578382,1.454258164,Credit Card,62,Toronto
2021-03-21 11:31,Dominos,American,3.40819804,53.45000827,49.05986985,4.224046842,Gift Card,133,Toronto
2021-03-22 2:12,A&W,Fast Food,8.929862962,29.40090418,53.43132283,2.012829927,Cash,146,Toronto
2021-03-23 22:30,Pizza Hut,Italian,5.553471583,69.12982446,36.60654346,1.995715951,Gift Card,155,Toronto
2021-03-24 20:08,Chipotle,Mediterranean,3.096422423,97.85543669,50.5951532,3.361523861,Debit Card,145,Toronto
2021-03-25 10:45,Dominos,Thai,8.897691387,85.17629112,26.98443668,1.280472183,Gift Card,57,Toronto
2021-03-26 11:28,Taco Bell,Japanese,8.528738823,20.10069637,32.89041575,1.105190907,Credit Card,105,Toronto
2021-03-27 8:53,Subway,Fast Food,9.871250911,46.97949716,58.97219852,2.044114661,Credit Card,153,Toronto
2021-03-28 21:04,A&W,Japanese,9.277949494,93.67455578,59.45312694,3.152270203,PayPal,132,Toronto
2021-03-29 8:35,Subway,Chinese,8.814322709,57.75871854,40.50420212,4.630465545,Cash,93,Toronto
2021-03-30 15:59,Starbucks,Indian,2.420595182,71.27950519,57.37079166,4.385740705,Debit Card,152,Toronto
2021-03-31 2:44,Starbucks,Fast Food,2.835322956,92.57094438,40.90922712,2.96178584,Cash,161,Toronto
2021-04-01 15:26,Pizza Hut,Vegan,6.551865554,89.27254869,31.66352513,1.148207975,Gift Card,198,Toronto
2021-04-02 15:32,A&W,Italian,6.25183397,57.65473192,30.67597152,3.141010939,Debit Card,91,Toronto
2021-04-03 9:16,McDonalds,American,5.663705716,52.19993573,57.18022821,3.8191824,Debit Card,194,Toronto
2021-04-04 20:41,Starbucks,Vegan,5.174314603,43.87387257,26.89785556,2.35665813,Credit Card,79,Toronto
2021-04-05 11:19,Pizza Hut,Chinese,5.449683879,76.11665267,43.18529833,1.444253213,Gift Card,75,Toronto
2021-04-06 16:32,Starbucks,Indian,6.554383473,39.39387796,42.22100272,2.114271813,Credit Card,174,Toronto
2021-04-07 17:08,Starbucks,Mediterranean,2.016612141,36.24044655,49.58486739,4.086355458,Credit Card,68,Toronto
2021-04-08 12:36,McDonalds,Thai,4.085670193,45.28124104,39.9697163,2.404975329,PayPal,102,Toronto
2021-04-09 18:24,Dominos,Japanese,6.146237766,30.06327983,30.89142643,4.247925963,Credit Card,134,Toronto
2021-04-10 21:10,KFC,Chinese,7.777728789,74.08518436,26.77585999,2.278085807,Cash,66,Toronto
2021-04-11 14:14,Chipotle,American,3.393253539,67.38045519,44.83275214,1.654220154,Debit Card,153,Toronto
2021-04-12 8:12,Starbucks,Thai,6.37504939,56.0446754,48.75963027,2.743393438,Credit Card,154,Toronto
2021-04-13 10:48,Starbucks,Mediterranean,7.715677471,48.17769124,42.78085115,2.809098049,Cash,153,Toronto
2021-04-14 23:29,Taco Bell,American,5.557021263,92.27031615,49.53405108,1.064432874,Gift Card,196,Toronto
2021-04-15 16:31,Chipotle,Italian,2.216649069,17.47552172,25.6608481,1.468180291,Debit Card,173,Toronto
2021-04-16 22:10,McDonalds,Japanese,5.594145268,80.3741582,55.2988078,1.739704075,Gift Card,130,Toronto
2021-04-17 10:27,Subway,Vegan,4.371559102,91.6623136,43.29582034,1.45434927,Cash,86,Toronto
2021-04-18 10:24,A&W,Fast Food,9.437196862,52.94013925,25.07375708,2.366104302,Gift Card,170,Toronto
2021-04-19 9:02,Starbucks,Chinese,2.996907085,61.80869178,38.47700817,4.858491422,Gift Card,119,Toronto
2021-04-20 0:06,KFC,Fast Food,7.219807644,95.27941347,53.79166951,3.036890153,Gift Card,179,Toronto
2021-04-21 15:53,A&W,Thai,2.421758131,33.0435888,55.90248774,3.510224095,Credit Card,108,Toronto
2021-04-22 8:34,Chipotle,Fast Food,5.569363503,59.21146206,30.5859802,2.425545914,Credit Card,167,Toronto
2021-04-23 12:34,A&W,Vegan,6.431835898,55.35129581,48.45063299,2.293951047,Credit Card,182,Toronto
2021-04-24 1:12,Dominos,Mexican,4.383639451,36.96337507,23.9994099,1.092587088,Debit Card,86,Toronto
2021-04-25 0:09,Starbucks,Thai,5.640605084,84.58042458,21.34183486,3.001334623,Cash,80,Toronto
2021-04-26 9:21,A&W,Japanese,3.308430356,91.46605055,42.41595815,2.934436027,Credit Card,148,Toronto
2021-04-27 2:01,Subway,American,4.432990796,81.46426928,47.79310317,1.631322905,Gift Card,143,Toronto
2021-04-28 11:26,Subway,Japanese,6.968850599,31.60551167,51.83146925,4.057296001,Gift Card,55,Toronto
2021-04-29 8:32,Starbucks,Fast Food,4.414400447,22.37363402,33.60864954,2.970697321,Gift Card,64,Toronto
2021-04-30 16:29,Burger King,Indian,9.197944627,66.46278125,20.26101642,2.355975881,Gift Card,192,Toronto
2021-05-01 7:20,Subway,Thai,7.027255661,19.85305464,39.18076948,1.587635636,PayPal,65,Toronto
2021-05-02 17:41,A&W,American,5.509192147,72.19020053,20.63414181,3.208643308,Debit Card,69,Toronto
2021-05-03 11:41,Pizza Hut,Mediterranean,2.310055484,60.08605873,23.67938043,4.011268104,Cash,126,Toronto
2021-05-04 9:50,Subway,Italian,5.996386682,71.33678728,33.0675609,2.127997411,Cash,93,Toronto
2021-05-05 22:48,Chipotle,Japanese,8.118209937,65.16451576,37.48688198,1.875177406,Credit Card,95,Toronto
2021-05-06 22:41,Burger King,Japanese,4.124460784,50.92971841,31.17877765,3.087739856,PayPal,144,Toronto
2021-05-07 20:07,A&W,Thai,8.454188557,32.07456031,43.27461066,1.62137321,Cash,113,Toronto
2021-05-08 1:06,McDonalds,Indian,4.014454128,40.98468154,22.21399157,3.666453546,Debit Card,180,Toronto
2021-05-09 0:16,Taco Bell,Fast Food,8.589971104,59.58254881,25.78318841,3.421374512,Gift Card,58,Toronto
2021-05-10 23:26,McDonalds,Fast Food,2.682146733,70.40878796,47.81033603,1.348328198,Credit Card,91,Toronto
2021-05-11 6:07,Dominos,Thai,8.929469671,81.25605644,25.68563414,1.146081518,Debit Card,122,Toronto
2021-05-12 15:03,Taco Bell,Japanese,5.993491607,80.20951107,45.59100806,3.48115461,Cash,133,Toronto
2021-05-13 22:19,Dominos,American,4.372300717,97.67854318,22.18738483,2.177175096,PayPal,108,Toronto
2021-05-14 12:00,Taco Bell,Italian,4.120906003,39.29652314,36.29529116,1.345783013,Credit Card,70,Toronto
2021-05-15 22:48,Taco Bell,Thai,5.456084471,21.0444102,27.0963788,4.03771482,Cash,199,Toronto
2021-05-16 15:57,Pizza Hut,American,9.992395985,44.38083952,24.3854513,2.256176012,Credit Card,112,Toronto
2021-05-17 15:07,KFC,American,3.762619148,78.18003039,42.68131134,2.838398199,Cash,122,Toronto
2021-05-18 16:28,Chipotle,Mediterranean,2.825733191,52.23949034,57.13343088,1.94725171,Gift Card,110,Toronto
2021-05-19 7:52,McDonalds,Vegan,6.68028135,84.5120166,22.19148192,3.509268313,PayPal,113,Toronto
2021-05-20 1:54,Subway,Mexican,5.908339732,61.69274104,36.86216993,2.205953661,Gift Card,118,Toronto
2021-05-21 1:39,A&W,Italian,6.193570169,94.03229642,48.30141751,4.872083845,Cash,178,Toronto
2021-05-22 7:17,Burger King,Chinese,7.33548334,95.56839257,38.50751327,3.811790194,Debit Card,155,Toronto
2021-05-23 22:48,Chipotle,Indian,4.137152559,20.89088301,52.25983784,1.546889105,Gift Card,114,Toronto
2021-05-24 5:48,Dominos,Mexican,9.285319963,53.79514238,27.18581263,2.666779359,Debit Card,171,Toronto
2021-05-25 2:18,Pizza Hut,Mediterranean,5.485376529,66.82357021,58.3837682,2.541684399,Cash,111,Toronto
2021-05-26 13:47,Dominos,Italian,3.032689561,36.74916597,35.40650511,3.136988443,PayPal,152,Toronto
2021-05-27 5:23,KFC,Fast Food,7.938390054,49.60152625,33.66278532,4.367722698,Debit Card,109,Toronto
2021-05-28 14:05,Burger King,Mexican,7.144834821,72.602931,54.98423178,3.333688061,Cash,95,Toronto
2021-05-29 22:05,Pizza Hut,Fast Food,4.52594722,34.27240929,42.55468128,1.24622671,Debit Card,54,Toronto
2021-05-30 4:53,Dominos,Indian,6.972149792,66.168415,40.65777368,3.621662787,Gift Card,162,Toronto
2021-05-31 16:07,KFC,Fast Food,3.758895651,74.28306539,49.07911678,1.033061192,Cash,199,Toronto
2021-06-01 21:55,A&W,Indian,5.558714875,22.69218644,43.19336953,4.119841842,Gift Card,119,Toronto
2021-06-02 1:13,A&W,Italian,9.195300177,57.28999186,26.50062579,3.66654429,Credit Card,60,Toronto
2021-06-03 8:03,Dominos,Japanese,3.068273865,37.36180254,46.96790491,2.235142633,Cash,187,Toronto
2021-06-04 0:15,Chipotle,Indian,5.0935716,76.57284026,25.33875517,2.169767218,Debit Card,147,Toronto
2021-06-05 22:39,Burger King,American,8.569139398,31.11221823,52.23430821,4.193091986,Credit Card,80,Toronto
2021-06-06 13:12,Starbucks,Chinese,9.755927195,90.84022282,59.58946391,4.133346768,Gift Card,61,Toronto
2021-06-07 8:35,Chipotle,Chinese,5.631409091,51.6300136,35.095505,2.409209418,Gift Card,157,Toronto
2021-06-08 15:24,A&W,Thai,6.055996961,31.83025758,37.79023593,2.195790912,Debit Card,129,Toronto
2021-06-09 19:10,Burger King,Chinese,6.577375694,52.23185269,21.85734622,3.239299156,Credit Card,116,Toronto
2021-06-10 13:43,KFC,Thai,9.458785133,49.74321984,20.54932752,1.03346264,PayPal,101,Toronto
2021-06-11 8:37,Pizza Hut,Chinese,8.865654328,51.45811156,56.8567734,1.330668152,Debit Card,182,Toronto
2021-06-12 2:08,Taco Bell,Indian,3.364808997,64.77270995,25.14496242,1.504678361,Gift Card,188,Toronto
2021-06-13 8:30,Dominos,American,5.494062543,59.29976662,37.8311499,1.741647271,Cash,74,Toronto
2021-06-14 7:02,McDonalds,Japanese,5.712003426,27.73105619,52.61418495,3.048072507,Credit Card,84,Toronto
2021-06-15 6:24,Burger King,Fast Food,8.312768893,20.57422117,55.5727504,4.968967659,PayPal,71,Toronto
2021-06-16 3:51,Subway,Mediterranean,6.823143061,77.00031314,40.77590741,3.610453607,Cash,145,Toronto
2021-06-17 15:58,KFC,Chinese,7.233763696,62.57598205,42.601301,1.245195178,Credit Card,166,Toronto
2021-06-18 13:44,Starbucks,Japanese,9.985599261,45.51506529,46.7873589,3.102317496,Debit Card,69,Toronto
2021-06-19 20:18,Taco Bell,Japanese,2.599680348,83.71041491,58.45529881,2.98658085,Debit Card,155,Toronto
2021-06-20 1:04,Subway,Indian,3.784078588,47.98497031,44.10679844,1.576671263,Credit Card,53,Toronto
2021-06-21 13:52,Starbucks,Italian,5.263167499,82.65703262,42.37901038,4.681089475,PayPal,67,Toronto
2021-06-22 10:14,McDonalds,Italian,4.782259224,40.98927084,20.58136541,2.763060991,Credit Card,100,Toronto
2021-06-23 21:40,A&W,Chinese,2.173164491,21.19185029,23.23798808,4.978236562,Cash,69,Toronto
2021-06-24 20:47,Chipotle,Mediterranean,2.734220852,94.27437397,43.08686506,2.680289181,Cash,171,Toronto
2021-06-25 13:20,Dominos,Chinese,7.447626331,48.53684599,57.44961551,3.431830811,Debit Card,186,Toronto
2021-06-26 4:37,Pizza Hut,Chinese,9.034595707,82.37886869,54.66765394,1.419050146,Credit Card,129,Toronto
2021-06-27 6:05,Starbucks,Thai,6.11381609,38.72725132,59.30315692,2.816911295,Debit Card,151,Toronto
2021-06-28 8:35,Taco Bell,American,6.313528636,69.94103453,41.1133615,1.955063576,PayPal,74,Toronto
2021-06-29 20:38,Burger King,American,4.040747463,89.23142423,51.51723754,4.342259194,Cash,108,Toronto
2021-06-30 7:18,A&W,Mediterranean,8.143010909,18.5397419,53.61601326,4.135678339,Gift Card,94,Toronto
2021-07-01 7:07,Burger King,Thai,8.014356699,85.60404,45.92126629,4.296719999,Gift Card,90,Toronto
2021-07-02 12:08,Taco Bell,Japanese,6.706925514,63.56330542,33.54999617,3.894437751,Credit Card,87,Toronto
2021-07-03 6:35,Burger King,Thai,3.701314292,66.63509908,38.79913739,4.330732894,Credit Card,166,Toronto
2021-07-04 20:32,Starbucks,Chinese,2.776145746,59.46843007,54.31668289,1.803315001,Gift Card,68,Toronto
2021-07-05 9:45,KFC,Italian,2.513908607,89.33038378,31.94191704,2.808175106,Credit Card,63,Toronto
2021-07-06 20:50,Burger King,Mexican,6.741568533,18.69183537,56.94972525,3.76738752,Cash,176,Toronto
2021-07-07 6:14,Chipotle,Mediterranean,8.600282553,37.18741328,29.19225366,3.549569992,PayPal,198,Toronto
2021-07-08 15:47,McDonalds,Japanese,8.866643454,89.4398158,49.98065661,3.865417931,PayPal,192,Toronto
2021-07-09 1:32,Pizza Hut,Indian,5.708976595,78.94938472,45.22236937,1.897033533,Debit Card,52,Toronto
2021-07-10 5:20,Starbucks,Mexican,8.274170394,16.49983862,49.98397764,1.393738836,Cash,86,Toronto
2021-07-11 17:13,Subway,Mexican,9.575041571,58.94553407,37.4939029,4.667226312,Credit Card,166,Toronto
2021-07-12 15:13,Taco Bell,Thai,4.2013609,60.01367786,57.3056425,3.240687582,Credit Card,65,Toronto
2021-07-13 22:06,A&W,Fast Food,5.183682771,49.07498149,45.2988881,1.615303698,Debit Card,191,Toronto
2021-07-14 22:25,Starbucks,Mexican,9.451831941,40.27843323,31.53183218,4.173746328,Debit Card,58,Toronto
2021-07-15 21:41,KFC,Chinese,4.705847739,72.94661229,45.53820283,4.659719747,Credit Card,56,Toronto
2021-07-16 23:36,A&W,Vegan,9.311010323,32.6621895,31.47262989,1.678254074,Credit Card,191,Toronto
2021-07-17 15:16,Chipotle,Italian,9.848358898,82.91062778,31.74529567,4.269649821,Cash,183,Toronto
2021-07-18 1:34,Taco Bell,Italian,7.294485829,83.25815867,35.98394046,4.732900245,Debit Card,64,Toronto
2021-07-19 15:58,A&W,Vegan,8.535122316,50.29722219,54.0972167,4.753446401,Cash,121,Toronto
2021-07-20 18:50,Burger King,American,7.996364514,39.10158093,40.01191498,4.656625847,Credit Card,153,Toronto
2021-07-21 23:33,Starbucks,Chinese,7.596274061,39.12964544,47.15603369,3.185684049,Gift Card,178,Toronto
2021-07-22 1:10,McDonalds,Indian,4.455448584,55.99476254,35.67870961,2.424845269,Gift Card,145,Toronto
2021-07-23 11:03,Taco Bell,Mexican,2.456754703,76.1642341,30.54421759,1.029091231,Credit Card,171,Toronto
2021-07-24 16:08,Dominos,American,4.74441386,45.50383873,58.18560643,1.243648907,Debit Card,164,Toronto
2021-07-25 9:46,Chipotle,Chinese,7.335487882,66.85368436,44.14324988,2.715356061,Gift Card,197,Toronto
2021-07-26 23:19,Pizza Hut,Thai,2.820233586,47.51117915,57.35805354,2.597304586,Debit Card,129,Toronto
2021-07-27 12:06,Taco Bell,Italian,2.095343864,40.88447108,28.13652009,1.738855638,Gift Card,56,Toronto
2021-07-28 6:07,KFC,American,3.117538981,17.11305885,25.87576656,2.581920112,Debit Card,184,Toronto
2021-07-29 0:50,Starbucks,Mediterranean,7.725887411,15.33269899,54.23291628,1.698600262,Gift Card,99,Toronto
2021-07-30 19:26,Burger King,Mexican,9.782349613,34.31265262,47.2366885,4.395165011,Debit Card,179,Toronto
2021-07-31 16:27,Pizza Hut,Mexican,9.864517597,49.54453438,27.46313997,2.192779512,Cash,96,Toronto
2021-08-01 19:50,Pizza Hut,Indian,5.951833193,87.35719923,30.77438803,3.394257401,Debit Card,63,Toronto
2021-08-02 4:19,Chipotle,Fast Food,8.954818408,82.87116065,52.02655766,3.011372248,Cash,80,Toronto
2021-08-03 20:15,A&W,Mediterranean,7.894611646,37.70904732,38.1547448,1.20752831,Cash,99,Toronto
2021-08-04 20:25,KFC,Mexican,6.008321896,35.78593765,46.82162026,4.768934878,Credit Card,90,Toronto
2021-08-05 20:08,A&W,Japanese,6.582084264,34.32237604,32.73408089,3.108903913,Cash,63,Toronto
2021-08-06 2:37,Burger King,Mediterranean,3.097817173,43.83517394,35.24919811,2.300230574,PayPal,182,Toronto
2021-08-07 1:38,Pizza Hut,Mexican,9.501291685,57.34689116,59.62850234,1.632506279,Cash,54,Toronto
2021-08-08 4:00,KFC,Vegan,4.815438166,52.28676062,29.90468349,2.354106539,Debit Card,54,Toronto
2021-08-09 3:21,KFC,Mediterranean,5.569194052,33.5532219,40.25825508,1.082046412,Cash,162,Toronto
2021-08-10 10:33,Subway,Chinese,7.373281848,26.08836985,53.77609373,2.454232621,Debit Card,167,Toronto
2021-08-11 18:39,Starbucks,Mediterranean,4.671219772,16.06911406,29.56892855,3.125943709,Debit Card,145,Toronto
2021-08-12 12:25,Pizza Hut,Indian,4.034073288,28.08687529,36.60855027,4.487464983,PayPal,85,Toronto
2021-08-13 8:09,Pizza Hut,Thai,7.048395146,74.95529147,44.60365149,3.749497671,Cash,128,Toronto
2021-08-14 9:38,KFC,Thai,2.199872658,35.70927839,39.24752606,1.446329253,Cash,68,Toronto
2021-08-15 20:41,A&W,Thai,7.765800896,54.83115386,38.38009066,1.590985298,Gift Card,71,Toronto
2021-08-16 8:46,Pizza Hut,Chinese,6.112186959,65.26059766,34.50038925,2.712493471,Gift Card,105,Toronto
2021-08-17 4:32,KFC,American,6.846029844,90.38147674,43.46585311,1.782831007,Credit Card,66,Toronto
2021-08-18 20:42,Pizza Hut,Thai,7.055041274,90.55268336,44.97490792,1.11139911,Debit Card,66,Toronto
2021-08-19 13:05,KFC,Italian,6.216401252,78.38736736,46.13158164,4.22005952,PayPal,195,Toronto
2021-08-20 22:35,Subway,Chinese,6.66027022,17.98834432,22.81472432,1.078090283,Gift Card,127,Toronto
2021-08-21 7:32,Starbucks,American,7.470305607,63.88098562,45.24136703,4.322758421,Cash,105,Toronto
2021-08-22 19:35,KFC,Italian,8.024950777,81.85959502,58.12948715,1.576415852,Credit Card,129,Toronto
2021-08-23 5:46,Pizza Hut,Italian,7.81961913,16.4694838,41.63944942,4.898713643,PayPal,99,Toronto
2021-08-24 13:35,Burger King,Italian,8.956931662,61.72319216,48.6106833,3.415495647,Cash,107,Toronto
2021-08-25 6:53,Starbucks,Japanese,3.515547465,87.90995239,42.26929231,3.939931887,Cash,67,Toronto
2021-08-26 7:10,Subway,Indian,5.209183756,55.29867645,54.18962474,1.441934512,Debit Card,184,Toronto
2021-08-27 6:18,KFC,Indian,9.582368528,15.34902725,57.18332378,4.448416294,Debit Card,125,Toronto
2021-08-28 16:37,Burger King,Chinese,5.172724595,15.93613546,27.36879597,4.356769371,Gift Card,59,Toronto
